name,id,continent,age,contract_until,position,prefer_foot,reputation,stat_overall,stat_potential,stat_skill_moves,value
P. Goltz,1981,4,33,2020,3,0,1,75,75,2,2700000
B. Mechele,1983,2,25,2022,3,0,1,75,79,2,7000000
Kaimo Lima,1984,4,34,2021,3,1,1,75,75,2,2000000
R. Rodelin,1985,2,28,2021,2,0,1,75,75,3,7000000
L. Ciman,1987,2,32,2020,3,0,1,75,75,2,3800000
D. Ba,1988,0,33,2021,1,0,3,75,75,3,4200000
José Cañas,1990,2,31,2019,2,0,1,75,75,2,4500000
Y. Osorio,1991,4,24,2019,3,0,1,75,83,2,8500000
Titi,1992,4,30,2020,3,1,1,75,75,2,4900000
Carles Gil,1993,2,25,2020,2,1,2,75,76,4,8000000
P. Lasne,1994,2,29,2021,2,1,1,75,75,3,6500000
Lekue,1995,2,25,2023,3,0,1,75,78,3,7000000
A. Danjuma Groeneveld,1997,2,21,2022,2,0,1,75,84,4,10500000
C. Luyindama,1998,0,24,2021,3,0,1,75,80,2,7500000
L. González Pirez,1999,4,26,2019,3,0,1,75,78,2,7000000
Sergio Álvarez,2000,2,26,2022,2,0,1,75,78,3,7000000
O. Kharbin,2003,1,24,2021,1,0,1,75,80,3,9000000
Sergi Guardiola,2004,2,27,2019,1,1,1,75,76,3,8000000
T. Souček,2005,2,23,2020,2,0,1,75,83,2,8500000
Y. Ravet,2006,2,28,2020,2,0,1,75,75,3,6500000
T. Serero,2007,0,28,2020,2,0,1,75,75,3,6500000
I. Fetfatzidis,2011,2,27,2021,2,1,2,75,75,4,7000000
A. Hamdallah,2015,0,27,2021,1,0,1,74,74,3,6000000
R. Tapia,2016,4,22,2020,2,0,1,74,79,3,6500000
Duirval Diniz,2018,4,34,2021,3,0,1,74,74,2,1700000
Arribas,2019,2,29,2022,3,0,2,74,74,2,4400000
B. Dabo,2020,0,26,2021,2,0,1,74,77,4,7000000
G. Lezcano,2021,4,31,2020,1,0,1,74,74,3,4900000
Bebeto,2022,4,28,2020,3,0,1,74,74,3,4400000
L. Sobiech,2023,2,27,2022,3,0,1,74,74,2,4700000
K. Boutaïb,2025,0,31,2019,1,0,1,74,74,3,5000000
M. Pasqual,2029,2,36,2022,3,1,2,74,74,3,650000
Zubeldia,2030,2,21,2024,2,0,1,74,81,3,8000000
D. Kolář,2032,2,32,2019,2,0,1,74,74,3,4400000
S. Ghoddos,2034,1,24,2023,2,0,1,74,79,3,7500000
A. Bălută,2035,2,24,2022,2,0,1,74,77,4,7000000
A. Di Gaudio,2037,2,28,2020,1,0,1,74,74,4,5500000
V. Demirel,2039,1,36,2019,0,0,2,74,74,1,750000
A. Morelos,2042,4,22,2022,1,0,1,74,84,3,9000000
D. Sakho,2044,0,28,2019,1,0,1,74,74,3,6000000
E. Velázquez,2045,4,24,2021,3,0,1,74,80,2,6500000
M. Waris,2046,0,26,2019,1,0,1,74,74,3,6000000
Y. Khacheridi,2048,2,30,2021,3,0,1,74,74,2,4200000
Y. Gerhardt,2049,2,24,2021,2,1,2,74,80,3,6500000
K. Laifis,2050,2,25,2021,3,1,1,74,78,2,6000000
Pascoal Muscato,2052,4,26,2021,2,0,1,74,74,2,4900000
J. Furch,2053,4,28,2020,1,0,1,74,74,3,6000000
Anselmo,2056,4,29,2022,2,0,1,74,74,3,4400000
Manquillo,2058,2,24,2020,3,0,1,74,78,3,6000000
R. Rey,2060,4,27,2020,0,0,1,74,77,1,4700000
U. Račić,2061,2,20,2022,2,0,1,74,83,3,7500000
Daniel Ayala,2066,2,27,2020,3,0,1,74,76,2,5500000
M. Kempf,2067,2,23,2022,3,1,1,74,80,2,6500000
R. Khedira,2068,2,24,2021,3,0,1,74,77,2,6000000
M. Casco,2069,4,30,2020,3,0,1,74,74,3,4100000
Caio Milaçar,2070,4,34,2021,2,0,1,74,74,4,2800000
C. Träsch,2072,2,30,2021,2,0,2,74,74,3,4200000
C. Atsu,2073,0,26,2021,2,1,1,74,75,3,6500000
M. Andújar,2075,4,34,2019,0,0,2,74,74,1,2300000
K. Olsson,2076,2,23,2020,2,0,1,74,79,4,7500000
M. Luongo,2079,3,25,2020,2,0,1,74,77,3,6000000
L. Jara,2080,4,27,2020,3,0,1,74,75,3,5000000
M. Andreolli,2081,2,32,2019,3,0,2,74,74,2,3200000
A. Chahechouhe,2082,0,31,2019,2,0,1,74,74,4,4900000
J. Pivarić,2084,2,29,2020,3,1,1,74,74,3,4300000
E. Goldaniga,2085,2,24,2019,3,0,1,74,76,2,6000000
Elias Fontoira,2086,4,34,2021,2,0,1,74,74,3,1700000
S. Al Faraj,2088,1,28,2021,2,1,1,74,74,3,5500000
Joselu,2093,2,28,2020,1,0,1,74,74,3,6000000
G. Svensson,2094,2,31,2019,2,0,1,74,74,3,3800000
W. Katsande,2097,0,32,2020,2,0,1,74,74,3,3200000
S. Kırıntılı,2098,1,33,2020,0,0,1,74,74,1,2800000
Jairo,2100,2,24,2019,2,0,2,74,77,3,7000000
R. Bazoer,2101,2,21,2019,2,0,2,74,82,3,8000000
A. Beck,2104,2,31,2019,3,0,2,74,74,3,3700000
G. Imbula,2106,2,25,2019,2,1,1,74,77,4,7000000
D. Royer,2107,2,28,2020,2,0,1,74,74,4,5500000
N. Sánchez,2110,4,32,2019,3,0,1,74,74,2,3200000
N. Benezet,2111,2,27,2020,2,0,1,74,74,3,6000000
O. Şahan,2112,1,31,2020,2,0,1,74,74,4,4900000
D. Falcinelli,2114,2,27,2022,1,1,1,74,75,3,6500000
B. Poulain,2118,2,30,2019,3,0,1,74,74,2,4200000
Y. Nagatomo,2119,1,31,2020,3,0,2,74,74,3,3700000
Alberto,2121,2,33,2021,0,0,1,74,74,1,2800000
J. Obi,2122,0,27,2021,2,1,1,74,75,3,6500000
Jailson Caeiro,2125,4,26,2018,3,0,1,74,74,3,4800000
D. Chará,2126,4,32,2018,2,0,1,74,74,3,3200000
T. Mykhalyk,2127,2,34,2019,3,0,2,74,74,2,1700000
Alexis,2129,2,32,2020,3,0,2,74,74,2,3200000
E. Sviatchenko,2134,2,26,2022,3,0,1,74,77,2,6000000
L. Dimata,2136,2,20,2019,1,0,1,74,82,3,8500000
André Horta,2137,2,21,2023,2,0,1,74,82,3,8000000
T. Sippel,2141,2,30,2019,0,0,1,74,74,1,3600000
B. Nuytinck,2142,2,28,2021,3,1,1,74,76,2,5500000
N. Silva,2145,4,28,2019,2,0,1,74,74,3,5500000
Insua,2149,2,24,2019,3,0,1,74,78,2,6000000
Róber,2150,2,23,2019,3,0,1,74,82,2,7000000
Osvaldo Lodeiro,2151,4,30,2021,3,0,1,74,74,2,4200000
Míchel,2152,2,29,2019,2,0,1,74,74,3,5500000
E. Mor,2154,1,20,2022,1,1,1,74,83,4,8500000
Lato,2155,2,20,2021,3,1,1,74,83,3,7500000
Fernandão,2156,4,31,2020,1,0,2,74,74,3,5000000
O. Martínez,2157,4,32,2020,2,0,1,74,74,3,4300000
J. Kembo-Ekoko,2159,0,30,2019,1,0,1,74,74,3,5500000
A. Katai,2161,2,27,2019,2,0,1,74,74,4,6000000
Fabiano Sonta,2162,4,26,2021,3,0,1,74,74,2,4900000
A. Ioniţă,2163,2,27,2021,2,0,2,74,74,3,6000000
Seoane,2164,2,35,2021,2,0,1,74,74,2,1300000
C. Pizarro,2165,4,39,2019,1,0,3,74,74,4,1600000
Ivo,2166,4,31,2019,2,1,1,74,74,3,4900000
Iñigo Pérez,2167,2,30,2022,2,1,1,74,74,2,4200000
D. Kreilach,2168,2,29,2023,1,0,1,74,74,3,5500000
T. Fosu-Mensah,2169,2,20,2019,3,0,1,74,84,3,8000000
S. Grandsir,2170,2,21,2023,2,0,1,74,85,3,9500000
B. van Leer,2171,2,26,2019,0,0,1,74,76,1,4700000
Diogo Leite,2172,2,19,2021,3,1,1,74,87,2,9500000
Dídac Vilà,2174,2,29,2020,3,1,1,74,74,3,4300000
A. Ciciretti,2175,2,24,2019,1,1,1,74,78,4,7500000
Jorge,2176,4,22,2019,3,1,1,74,80,3,6500000
E. Didot,2177,2,34,2019,2,0,2,74,74,2,1700000
Marlon Nideiro,2178,4,34,2021,2,0,1,74,74,4,2800000
Leo Caldeirinha,2186,4,34,2021,2,1,1,74,74,4,2800000
T. Sainsbury,2187,3,26,2021,3,0,1,74,77,2,6000000
Edgar Ié,2188,2,24,2022,3,0,1,74,81,2,7000000
A. Chávez,2193,4,27,2021,1,1,1,74,75,3,6500000
V. Kovalenko,2194,2,22,2020,2,0,1,74,82,3,8500000
Y. Kaboul,2195,2,32,2019,3,0,2,74,74,2,3200000
R. Meggiorini,2196,2,32,2019,1,1,2,74,74,4,4500000
B. Sagna,2197,2,35,2018,3,0,3,74,74,3,1200000
Rafael Vaz,2198,4,29,2018,3,1,1,74,74,2,4400000
Robson Denho,2199,4,26,2021,2,0,1,74,74,2,4900000
J. Toljan,2201,2,23,2022,3,0,2,74,78,3,6000000
Claudiano Sobrino,2202,4,34,2018,2,0,1,74,74,2,1700000
S. M'Bia,2203,0,32,2019,2,0,2,74,74,2,3200000
Hélton Celanova,2204,4,26,2021,1,1,1,74,74,3,6000000
H. Mukhtar,2209,2,23,2021,2,0,1,74,81,3,8000000
William,2210,4,23,2022,3,0,1,74,79,3,6500000
G. Bong,2211,0,30,2019,3,1,1,74,74,3,4100000
J. Geis,2213,2,24,2019,2,0,2,74,77,2,6000000
Jadson Vidigal,2216,4,26,2021,1,0,1,74,74,2,6000000
Álvaro Jiménez,2217,2,23,2019,2,0,1,74,81,3,8000000
O. Kayode,2220,0,25,2023,1,0,1,74,78,3,7500000
F. Castillo,2222,4,26,2019,2,0,1,74,75,4,6500000
Bruno Varela,2223,2,23,2020,0,0,1,74,79,1,5500000
L. Narsingh,2224,2,27,2019,1,0,2,74,74,4,6000000
L. Rizzo,2228,2,26,2019,2,0,1,74,75,3,6500000
B. Ecuélé Manga,2230,0,29,2019,3,0,1,74,74,2,4400000
J. Córdoba,2231,4,25,2021,1,0,1,74,78,3,7500000
G. Sakai,2233,1,27,2020,3,0,2,74,74,3,4600000
R. Rosales,2235,4,29,2019,3,0,2,74,74,3,4300000
N. De Préville,2237,2,27,2021,1,0,2,74,74,3,6000000
A. El Ghazi,2239,2,23,2019,2,0,1,74,80,4,7500000
K. Dolly,2240,0,25,2021,2,1,1,74,77,3,7000000
P. Barrientos,2242,4,33,2023,1,1,1,74,74,4,3400000
H. Rodallega,2243,4,32,2019,1,0,2,74,74,3,4500000
M. Caraglio,2245,4,29,2019,1,1,1,74,74,3,5500000
S. Lung,2246,2,29,2020,0,0,1,74,76,1,4600000
M. Cabrera,2251,4,32,2023,2,0,1,74,74,4,4400000
B. Valdez,2252,4,25,2020,3,0,1,74,77,2,6000000
Pozo,2253,2,22,2023,2,0,1,74,81,3,8000000
I. Kahveci,2256,1,22,2021,2,1,1,74,78,4,7500000
Sebas Couteira,2257,4,30,2021,2,0,1,74,74,4,5500000
Walace,2258,4,23,2022,2,0,1,74,80,3,6500000
David Simão,2260,2,28,2019,2,1,1,74,74,3,5500000
C. Rius,2261,4,29,2019,1,0,1,74,74,3,5500000
P. Rosario,2263,2,21,2020,2,0,1,74,82,3,7000000
Kauã Abranches,2265,4,34,2021,2,0,1,74,74,3,2800000
A. Gyan,2266,0,32,2019,1,0,3,74,74,3,4500000
P. Gazzaniga,2270,4,26,2022,0,0,1,74,78,1,5000000
F. Mussis,2271,4,26,2018,2,0,1,74,75,2,5500000
A. Masina,2272,2,24,2023,3,1,1,74,79,3,6500000
J. Błaszczykowski,2273,2,32,2019,2,0,2,74,74,3,4400000
J. Beausejour,2274,4,34,2019,3,1,2,74,74,3,1600000
D. Kourmpelis,2276,2,24,2021,2,0,1,74,79,3,6500000
Nicolás Formido,2277,4,30,2021,2,1,1,74,74,4,5500000
J. Aidoo,2278,0,22,2020,3,0,1,74,81,2,7000000
Melendo,2279,2,20,2022,2,1,1,74,82,3,8500000
E. Pieters,2280,2,29,2020,3,1,2,74,74,3,4300000
Ramalho,2282,2,25,2019,3,0,1,74,78,2,6000000
Kévin Rodrigues,2283,2,24,2020,3,1,1,74,79,2,6500000
R. Vlaar,2285,2,33,2019,3,0,2,74,74,2,2300000
R. van Wolfswinkel,2286,2,29,2020,2,0,2,74,74,3,5500000
Ilie Sánchez,2287,2,27,2021,2,0,1,74,75,3,5500000
A. Chumacero,2289,4,27,2018,2,0,1,74,75,3,6500000
Dani Pacheco,2290,2,27,2021,2,0,1,74,74,3,6000000
L. Rodríguez,2291,4,33,2020,1,0,1,74,74,4,3500000
M. Britos,2293,4,32,2019,3,1,2,74,74,2,3200000
M. Rits,2294,2,24,2022,2,0,1,74,78,3,7000000
Crespo,2297,2,31,2019,3,0,1,74,74,2,3800000
Bigas,2298,2,27,2019,3,1,1,74,75,2,5500000
Vitor Bueno,2301,4,23,2021,2,0,1,74,81,3,8000000
I. Pussetto,2303,4,22,2023,1,0,1,74,82,3,8500000
A. Ajeti,2304,2,21,2022,1,0,1,74,81,3,8000000
A. Besedin,2306,2,22,2019,1,0,1,74,80,3,8000000
T. Didillon,2307,2,22,2022,0,1,1,74,81,1,6000000
Arana,2308,4,21,2022,3,1,1,74,82,3,7000000
Zainadine,2309,0,30,2020,3,0,1,74,74,2,4200000
A. Gianniotis,2311,2,25,2020,0,0,1,74,78,1,5000000
Bruno Saltor,2312,2,37,2019,3,0,1,74,74,3,650000
M. Stendera,2313,2,22,2020,2,0,2,74,79,3,7500000
S. Kalu,2314,0,20,2023,1,0,1,74,85,3,9500000
Juan Cala,2315,2,28,2020,3,0,1,74,74,2,4600000
W. Tesillo,2318,4,28,2018,3,1,1,74,74,2,4600000
J. Brenet,2321,2,24,2022,3,0,1,74,77,3,6000000
Y. Kubo,2323,1,24,2019,2,0,1,74,78,4,7500000
T. Pukki,2324,2,28,2021,1,0,1,74,74,3,6000000
M. Ekici,2328,1,28,2020,2,0,2,74,74,3,5500000
A. Nyom,2329,0,30,2019,3,0,2,74,74,3,4100000
F. Đorđević,2330,2,30,2021,1,1,2,74,74,3,5500000
Fábio Espinho,2334,2,32,2020,2,0,1,74,74,4,4400000
L. Marković,2335,2,24,2019,2,0,2,74,77,4,7000000
J. Barrera,2336,4,22,2023,2,1,1,74,82,4,8500000
R. Mora,2337,4,30,2020,1,0,1,74,74,3,5500000
D. Lazović,2338,2,27,2020,2,0,1,74,74,3,6000000
M. Burda,2339,2,23,2022,3,0,1,74,81,2,7000000
Tana,2340,2,27,2023,2,0,1,74,74,4,6000000
J. Hušbauer,2342,2,28,2019,2,0,1,74,74,3,5500000
Patric,2344,4,30,2018,1,0,1,74,74,3,5500000
P. Diamanka,2345,0,28,2019,2,0,1,74,74,3,4600000
D. N'Doye,2348,0,33,2019,1,0,2,74,74,3,3500000
S. Johansen,2349,2,27,2019,2,1,1,74,75,3,6500000
A. Zambo Anguissa,2351,0,22,2023,2,0,1,74,82,3,7000000
N. Lombaerts,2352,2,33,2020,3,1,2,74,74,2,2300000
A. Sulu,2355,1,32,2019,3,0,2,74,74,2,3200000
R. Saïss,2357,0,28,2020,2,1,1,74,74,3,5500000
J. Haberer,2358,2,24,2020,2,0,1,74,78,3,7000000
J. Kana-Biyik,2360,0,28,2019,3,0,2,74,75,2,5000000
V. Barkas,2361,2,24,2022,0,1,1,74,77,1,5000000
K. Johnsson,2362,2,28,2020,0,0,1,74,74,1,4000000
S. Floccari,2363,2,36,2023,1,0,2,74,74,3,2000000
S. Prödl,2364,2,31,2021,3,0,2,74,74,2,3800000
S. Okaka,2367,2,28,2021,1,0,2,74,74,2,6000000
A. Oyongo,2369,0,27,2022,3,1,1,74,75,3,5000000
A. Behich,2371,3,27,2022,3,1,1,74,75,3,5000000
F. Haroun,2373,2,32,2020,2,0,1,74,74,3,3200000
J. Larsen,2376,2,19,2021,2,0,1,74,85,3,9500000
F. Bastians,2377,2,30,2019,3,1,1,74,74,2,4200000
Victorino Magela,2379,4,30,2021,0,0,1,74,74,1,3600000
Marc Navarro,2380,2,22,2023,3,0,1,74,81,2,6500000
K. Kamara,2381,0,33,2023,1,0,1,74,74,3,3500000
O. Tufan,2384,1,23,2020,2,0,1,74,79,3,6500000
Pedro Rebocho,2385,2,23,2022,3,1,1,74,82,3,7000000
S. Grytebust,2387,2,28,2019,0,0,1,74,75,1,4500000
W. Hahn,2388,2,26,2020,0,0,1,74,78,1,5000000
Adrianiscito,2389,4,26,2021,0,0,1,74,74,1,4000000
M. Tisserand,2392,0,25,2022,3,0,1,74,79,3,6500000
M. Ruben,2393,4,31,2019,1,0,1,74,74,3,5000000
Bebé,2396,2,27,2021,2,0,1,74,74,3,6000000
M. Vydra,2397,2,26,2021,2,0,1,74,76,3,7000000
Carmona,2399,2,30,2021,2,0,1,74,74,3,5500000
C. Lema,2400,4,28,2023,3,0,1,74,74,2,4600000
Dentinho,2401,4,29,2021,2,0,1,74,74,4,5500000
L. Villafañez,2402,4,26,2020,2,0,1,74,74,3,6000000
W. Morelo,2405,4,31,2021,1,0,1,74,74,3,5000000
C. Benavente,2407,4,24,2022,2,1,1,74,78,4,7500000
A. del Valle,2408,4,29,2018,2,0,1,74,74,4,5500000
R. Ibarra,2409,4,27,2019,2,0,1,74,74,3,6000000
J. Musso,2410,4,24,2023,0,0,1,74,80,1,5500000
F. Forestieri,2412,2,28,2021,1,0,1,74,74,4,6000000
A. Romao,2414,0,34,2020,2,0,2,74,74,3,1700000
O. Gladkyi,2415,2,30,2019,1,0,1,74,74,3,5500000
A. Hack,2416,2,24,2022,3,1,1,74,78,2,6000000
M. Ødegaard,2421,2,19,2019,1,1,1,74,84,5,9000000
Sequeira,2423,2,27,2021,3,1,1,74,74,3,4600000
I. Chochev,2424,2,25,2020,2,1,1,74,77,3,7000000
M. Gulde,2425,2,27,2022,3,0,1,74,75,2,5500000
Bruno César,2426,4,29,2020,2,1,1,74,74,3,5500000
F. Jara,2427,4,29,2022,1,0,1,74,74,3,5500000
Gabrìel,2428,4,25,2022,0,0,1,74,78,1,5000000
F. Hadergjonaj,2432,2,23,2020,3,0,1,74,80,3,6500000
O. Kucher,2433,2,35,2019,3,0,1,74,74,2,1300000
G. Burdisso,2435,4,29,2022,3,0,1,74,74,2,4400000
V. Misidjan,2436,2,24,2021,2,0,1,74,77,3,7000000
R. Salin,2437,2,33,2019,0,1,1,74,74,1,2800000
F. Valverde,2438,4,19,2021,2,0,1,74,84,3,8500000
Y. Gourcuff,2441,2,31,2019,2,0,2,74,74,4,4900000
Jesus Andradaldo,2442,4,26,2021,3,0,1,74,74,3,4800000
D. Musto,2444,4,31,2019,2,0,1,74,74,2,3800000
A. Baba,2446,0,23,2019,3,1,2,74,79,3,6500000
S. Özbayraklı,2448,1,28,2019,3,0,1,74,74,3,4400000
M. Le Marchand,2450,2,28,2022,3,1,2,74,74,2,4400000
Régis,2451,4,25,2019,2,1,1,74,76,3,7000000
T. Kędziora,2455,2,24,2021,3,0,1,74,79,2,6500000
D. Drexler,2457,2,28,2022,2,0,1,74,74,3,5500000
S. Falette,2458,0,26,2021,3,1,1,74,77,2,6000000
A. Cerci,2460,2,30,2019,1,1,2,74,74,4,5500000
R. Hubník,2461,2,34,2020,3,0,1,74,74,2,1700000
J. Andersen,2462,2,22,2021,3,0,1,74,82,2,7000000
Fran Beltrán,2463,2,19,2023,2,0,1,74,82,3,7000000
D. Viera,2464,4,27,2023,3,0,1,74,74,2,4700000
H. Lindner,2466,2,27,2019,0,0,1,74,77,1,4700000
J. Sánchez Miño,2467,4,28,2020,3,1,1,74,74,4,4400000
M. Pavlović,2468,2,28,2020,3,0,1,74,75,2,5000000
J. Ferri,2470,2,26,2019,2,0,2,74,74,3,6000000
C. Bassogog,2471,0,22,2020,1,1,1,74,81,4,8000000
M. Diagne,2472,0,26,2022,1,0,1,74,75,2,6500000
D. Heuer Fernandes,2474,2,25,2020,0,0,1,74,78,1,5000000
A. Fulgini,2475,2,21,2021,2,0,1,74,82,3,8500000
J. Fuenzalida,2477,4,33,2019,1,0,1,74,74,3,3400000
S. Kittel,2478,2,25,2022,2,0,1,74,76,4,7000000
V. Rosier,2479,2,21,2022,3,0,1,74,81,3,6500000
P. Žulj,2481,2,25,2020,2,1,1,74,78,4,7000000
G. Jara,2483,4,32,2018,3,0,2,74,74,2,3200000
S. Lainer,2484,2,25,2022,3,0,1,74,77,3,6000000
De la Bella,2486,2,32,2020,3,1,1,74,74,3,3100000
R. Cohade,2487,2,33,2020,2,0,2,74,74,3,3300000
D. Arismendi,2489,4,30,2020,2,0,2,74,74,3,4200000
Ricardo Costa,2495,2,37,2019,3,0,2,74,74,2,750000
Ailton,2496,4,23,2019,3,1,1,74,79,3,6500000
G. Margreitter,2498,2,29,2021,3,0,1,74,74,2,4400000
Djavan,2500,4,30,2019,3,1,1,74,74,2,4100000
Luna,2502,2,27,2021,3,1,1,74,75,3,5000000
C. Awaziem,2504,0,21,2020,3,0,1,74,81,2,7000000
F. Carrizo,2505,4,27,2019,2,0,1,74,74,4,6000000
B. Mensah,2509,0,23,2019,2,0,1,74,81,4,8000000
D. Tošić,2511,2,33,2020,3,1,1,74,74,2,2300000
E. Bauthéac,2512,2,30,2019,2,1,2,74,74,3,5500000
A. Tameze,2514,0,24,2021,2,0,1,74,80,3,6500000
V. Manceau,2515,2,28,2020,3,0,1,74,74,3,4400000
F. Bardi,2516,2,26,2022,0,0,1,74,75,1,4500000
L. Advíncula,2517,4,28,2019,3,0,1,74,74,3,4400000
Enaldo Toxeto,2519,4,30,2021,3,1,1,74,74,2,4200000
Welthon,2522,4,26,2022,1,1,1,74,76,4,7000000
Moi Gómez,2523,2,24,2019,2,0,1,74,79,3,7500000
Marc Muniesa,2524,2,26,2021,3,1,1,74,78,2,6000000
S. Wuytens,2528,2,28,2020,3,1,1,73,73,3,3200000
F. Chafik,2532,0,31,2020,3,0,1,73,73,3,2600000
K. Ajer,2533,2,20,2022,3,0,1,73,82,3,5500000
K. Grosicki,2534,2,30,2020,2,0,2,73,73,3,3800000
David Braz,2537,4,31,2019,3,0,1,73,73,2,2700000
D. Roef,2538,2,24,2019,0,0,1,73,77,1,3700000
Lombán,2539,2,31,2020,3,0,1,73,73,2,2700000
A. Acquah,2541,0,26,2019,2,0,1,73,74,3,4600000
G. Jung,2544,2,23,2022,3,0,1,73,80,2,4800000
M. Iturra,2545,4,34,2019,2,1,2,73,73,2,1200000
Molinero,2546,2,32,2019,3,0,1,73,73,2,2200000
D. Pérez,2548,4,29,2019,3,1,1,73,73,3,3000000
D. Braghieri,2550,4,31,2020,3,1,1,73,73,2,2700000
C. Álvarez,2551,4,32,2020,0,0,1,73,73,1,2300000
Léo Bonatini,2555,4,24,2022,1,0,1,73,78,3,5500000
B. Fernández,2556,4,23,2019,1,0,1,73,80,3,5500000
J. Lucero,2560,4,26,2019,1,0,1,73,74,3,4800000
G. Chakvetadze,2561,2,18,2020,2,0,1,73,86,3,7000000
T. Leibold,2564,2,24,2021,3,1,1,73,76,3,4200000
G. Arias,2565,4,30,2019,0,0,1,73,73,1,2600000
M. Russ,2572,2,32,2020,3,0,2,73,73,2,2300000
Salvi Sánchez,2574,2,27,2020,2,0,1,73,73,3,4200000
V. Cantillo,2579,4,24,2023,2,0,1,73,80,3,4800000
Jaim Abra,2585,4,26,2021,0,0,1,73,73,1,2800000
Y. Öztekin,2588,1,31,2020,2,0,1,73,73,3,3500000
R. Gikiewicz,2590,2,30,2020,0,0,1,73,73,1,2600000
G. Silva,2591,4,24,2021,3,1,1,73,78,3,4500000
Freder Cabral,2593,4,26,2021,0,0,1,73,73,1,2800000
J. Gómez,2594,4,28,2022,2,0,1,73,73,3,4000000
M. Ishak,2597,2,25,2020,1,0,1,73,76,3,5000000
N. Gießelmann,2598,2,26,2020,3,1,1,73,74,3,3800000
Luis Couprins,2599,4,30,2021,2,0,1,73,73,2,3000000
M. Hawsawi,2602,1,26,2022,3,0,1,73,76,2,4200000
G. Sertic,2607,2,28,2020,3,0,2,73,73,2,3200000
R. Philippoteaux,2608,2,30,2022,2,0,1,73,73,3,3800000
Gerson,2609,4,21,2019,2,1,1,73,81,3,6000000
J. Šural,2611,2,28,2019,1,0,1,73,73,3,4100000
D. Ciofani,2614,2,32,2019,1,0,2,73,73,2,3200000
Etxeita,2615,2,30,2019,3,0,1,73,73,2,3000000
S. Thioub,2618,2,23,2021,2,1,1,73,78,3,5500000
D. Bronn,2619,0,23,2021,3,0,1,73,80,3,4800000
J. Basanta,2620,4,34,2023,3,1,2,73,73,2,1200000
Diego Farías,2621,4,28,2021,1,0,1,73,73,4,4100000
Marcos Paneira,2622,4,30,2021,2,0,1,73,73,2,3000000
Cifuentes,2623,2,39,2019,0,0,1,73,73,1,270000
K. Monnet-Paquet,2625,2,29,2021,2,0,2,73,73,3,3900000
R. Yabo,2627,2,26,2019,2,0,1,73,74,4,4700000
B. Ramselaar,2629,2,22,2021,2,0,1,73,79,3,5500000
V. Forren,2633,2,30,2019,3,1,1,73,73,2,3000000
F. Diedhiou,2634,0,25,2021,1,0,1,73,77,3,5000000
F. Novák,2636,2,28,2020,3,1,1,73,73,3,3200000
P. Martinez,2637,2,29,2019,3,1,1,73,74,2,3500000
M. Santos,2638,4,25,2019,1,0,1,73,77,3,5000000
J. Kopic,2639,2,28,2022,2,0,1,73,73,3,4000000
N. Al Abed,2640,1,28,2021,2,1,1,73,73,4,4000000
Ferrán Torres,2641,2,18,2021,2,0,1,73,86,3,7000000
S. Kapino,2642,2,24,2020,0,0,1,73,78,1,3900000
O. Opazo,2643,4,27,2020,3,0,1,73,73,3,4200000
André Geraldes,2644,2,27,2019,3,0,1,73,74,2,3700000
Juli Piresinho,2645,4,30,2021,3,0,1,73,73,3,2900000
J. Schlupp,2646,0,25,2021,3,1,1,73,76,3,4100000
Vinicius Cardenha,2647,4,26,2021,3,0,1,73,73,2,3400000
B. Lozano,2648,4,24,2021,2,0,1,73,78,3,5500000
P. Hrošovský,2649,2,26,2021,2,0,1,73,76,3,4900000
Gabriel Silva,2650,4,27,2020,3,1,1,73,74,3,3700000
O. Sorg,2651,2,28,2019,3,0,2,73,73,2,3200000
M. Yanga-Mbiwa,2653,2,29,2020,3,0,2,73,73,2,3100000
R. Hennings,2654,2,30,2020,1,1,1,73,73,3,3900000
J. Bamba,2655,2,22,2023,2,0,1,73,82,3,6000000
Ivo Rodrigues,2656,2,23,2021,1,0,1,73,79,4,5500000
E. Audero,2657,2,21,2019,0,0,1,73,85,1,5500000
A. Maier,2658,2,19,2022,2,0,1,73,86,3,7500000
M. Dituro,2660,4,31,2021,0,0,1,73,73,1,2400000
G. Bia,2661,2,28,2019,2,0,1,73,73,3,4000000
G. Bussmann,2663,2,27,2019,3,1,1,73,73,2,3300000
C. Buchtmann,2664,2,26,2022,2,1,1,73,76,3,4900000
G. Poblete,2666,4,25,2019,2,0,1,73,76,2,4200000
N. Benedetti,2669,4,21,2021,2,0,1,73,85,4,7000000
Y. Sanogo,2670,2,25,2020,1,0,1,73,78,3,5500000
M. Kanazaki,2673,1,29,2021,1,0,1,73,73,3,4000000
Álex Gallar,2677,2,26,2020,2,1,1,73,74,3,4700000
Víctor Rodríguez,2680,2,28,2019,2,0,1,73,73,3,4000000
L. Baal,2681,2,32,2019,3,1,2,73,73,2,2200000
Élton,2682,4,32,2019,1,1,1,73,73,5,3100000
A. Ounas,2683,0,21,2022,1,1,1,73,82,3,6000000
H. Afful,2684,0,32,2021,3,0,1,73,73,3,2200000
F. Amorebieta,2686,4,33,2019,3,1,2,73,73,2,1600000
F. Dionisi,2688,2,31,2021,1,0,2,73,73,3,3600000
M. Nervo,2690,4,27,2019,3,0,1,73,76,2,4000000
P. Karlsson,2692,2,32,2020,3,0,1,73,73,2,2300000
